Name,E615(pi)-dxF-0.5
Comment,E615 pi-data x-differential[y=0.5]
Reference,Phys.Rev.D 39 (1989) 92-122
Process type,DY
Number of points,17
Number of uncorr.errors,1
Number of corr.errors,0
Number of norm.errors,1
List of norm.errors (relative),0.16
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<y>,yMin,yMax,<qT>[GeV],qTMin[GeV],qTMax[GeV],xSec,Uncorr.Err.0,Th.Factor,FiducialCuts,kCut1[GeV],kCut2[GeV],etaMin,etaMax
E615(pi)-dxF.[0.50-0.60].0,2 - 2 - 1004,473.6,6.300000000000001,4.05,8.55,0.55,0.5,0.6,0.125,0.0,0.25,0.02977,0.00188,0.04000000000000001,False,0.0,0.0,-1000.0,1000.0
E615(pi)-dxF.[0.50-0.60].1,2 - 2 - 1004,473.6,6.300000000000001,4.05,8.55,0.55,0.5,0.6,0.375,0.25,0.5,0.07254,0.00297,0.04000000000000001,False,0.0,0.0,-1000.0,1000.0
E615(pi)-dxF.[0.50-0.60].2,2 - 2 - 1004,473.6,6.300000000000001,4.05,8.55,0.55,0.5,0.6,0.625,0.5,0.75,0.1019,0.0035,0.04000000000000001,False,0.0,0.0,-1000.0,1000.0
E615(pi)-dxF.[0.50-0.60].3,2 - 2 - 1004,473.6,6.300000000000001,4.05,8.55,0.55,0.5,0.6,0.875,0.75,1.0,0.1034,0.0037,0.04000000000000001,False,0.0,0.0,-1000.0,1000.0
E615(pi)-dxF.[0.50-0.60].4,2 - 2 - 1004,473.6,6.300000000000001,4.05,8.55,0.55,0.5,0.6,1.125,1.0,1.25,0.08895,0.00353,0.04000000000000001,False,0.0,0.0,-1000.0,1000.0
E615(pi)-dxF.[0.50-0.60].5,2 - 2 - 1004,473.6,6.300000000000001,4.05,8.55,0.55,0.5,0.6,1.375,1.25,1.5,0.06847,0.00314,0.04000000000000001,False,0.0,0.0,-1000.0,1000.0
E615(pi)-dxF.[0.50-0.60].6,2 - 2 - 1004,473.6,6.300000000000001,4.05,8.55,0.55,0.5,0.6,1.625,1.5,1.75,0.05156,0.00274,0.04000000000000001,False,0.0,0.0,-1000.0,1000.0
E615(pi)-dxF.[0.50-0.60].7,2 - 2 - 1004,473.6,6.300000000000001,4.05,8.55,0.55,0.5,0.6,1.875,1.75,2.0,0.03376,0.00232,0.04000000000000001,False,0.0,0.0,-1000.0,1000.0
E615(pi)-dxF.[0.50-0.60].8,2 - 2 - 1004,473.6,6.300000000000001,4.05,8.55,0.55,0.5,0.6,2.125,2.0,2.25,0.02009,0.00183,0.04000000000000001,False,0.0,0.0,-1000.0,1000.0
E615(pi)-dxF.[0.50-0.60].9,2 - 2 - 1004,473.6,6.300000000000001,4.05,8.55,0.55,0.5,0.6,2.375,2.25,2.5,0.0133,0.00158,0.04000000000000001,False,0.0,0.0,-1000.0,1000.0
E615(pi)-dxF.[0.50-0.60].10,2 - 2 - 1004,473.6,6.300000000000001,4.05,8.55,0.55,0.5,0.6,2.625,2.5,2.75,0.00854,0.001162,0.04000000000000001,False,0.0,0.0,-1000.0,1000.0
E615(pi)-dxF.[0.50-0.60].11,2 - 2 - 1004,473.6,6.300000000000001,4.05,8.55,0.55,0.5,0.6,2.875,2.75,3.0,0.003126,0.000782,0.04000000000000001,False,0.0,0.0,-1000.0,1000.0
E615(pi)-dxF.[0.50-0.60].12,2 - 2 - 1004,473.6,6.300000000000001,4.05,8.55,0.55,0.5,0.6,3.125,3.0,3.25,0.002184,0.000691,0.04000000000000001,False,0.0,0.0,-1000.0,1000.0
E615(pi)-dxF.[0.50-0.60].13,2 - 2 - 1004,473.6,6.300000000000001,4.05,8.55,0.55,0.5,0.6,3.375,3.25,3.5,0.001381,0.000618,0.04000000000000001,False,0.0,0.0,-1000.0,1000.0
E615(pi)-dxF.[0.50-0.60].14,2 - 2 - 1004,473.6,6.300000000000001,4.05,8.55,0.55,0.5,0.6,3.625,3.5,3.75,0.001075,0.000481,0.04000000000000001,False,0.0,0.0,-1000.0,1000.0
E615(pi)-dxF.[0.50-0.60].15,2 - 2 - 1004,473.6,6.300000000000001,4.05,8.55,0.55,0.5,0.6,3.875,3.75,4.0,0.0007927,0.0003964,0.04000000000000001,False,0.0,0.0,-1000.0,1000.0
E615(pi)-dxF.[0.50-0.60].16,2 - 2 - 1004,473.6,6.300000000000001,4.05,8.55,0.55,0.5,0.6,4.125,4.0,4.25,0.0003486,0.0002465,0.04000000000000001,False,0.0,0.0,-1000.0,1000.0
